window_start_idx,window_end_idx,start_time,end_time,predicted_class,class_name,confidence
0,512,1970-01-01 00:28:24.069000,1970-01-01 00:28:24.282300,-1,Unclassified,0.3062789738178253
10,522,1970-01-01 00:28:24.132000,1970-01-01 00:28:24.285300,-1,Unclassified,0.3368678689002991
20,532,1970-01-01 00:28:24.135000,1970-01-01 00:28:24.288300,-1,Unclassified,0.35085901618003845
30,542,1970-01-01 00:28:24.138000,1970-01-01 00:28:24.291300,-1,Unclassified,0.32772156596183777
40,552,1970-01-01 00:28:24.141000,1970-01-01 00:28:24.294300,-1,Unclassified,0.3877369165420532
50,562,1970-01-01 00:28:24.144000,1970-01-01 00:28:24.297300,-1,Unclassified,0.32248175144195557
60,572,1970-01-01 00:28:24.147000,1970-01-01 00:28:24.300300,-1,Unclassified,0.37101757526397705
70,582,1970-01-01 00:28:24.150000,1970-01-01 00:28:24.303300,-1,Unclassified,0.36180350184440613
80,592,1970-01-01 00:28:24.153000,1970-01-01 00:28:24.306300,-1,Unclassified,0.36971303820610046
90,602,1970-01-01 00:28:24.156000,1970-01-01 00:28:24.309300,-1,Unclassified,0.3649764955043793
100,612,1970-01-01 00:28:24.159000,1970-01-01 00:28:24.312300,-1,Unclassified,0.3989565968513489
110,622,1970-01-01 00:28:24.162000,1970-01-01 00:28:24.315300,-1,Unclassified,0.3592667579650879
120,632,1970-01-01 00:28:24.165000,1970-01-01 00:28:24.318300,-1,Unclassified,0.36968085169792175
130,642,1970-01-01 00:28:24.168000,1970-01-01 00:28:24.321300,-1,Unclassified,0.3465483486652374
140,652,1970-01-01 00:28:24.171000,1970-01-01 00:28:24.324300,-1,Unclassified,0.33903202414512634
150,662,1970-01-01 00:28:24.174000,1970-01-01 00:28:24.327300,-1,Unclassified,0.35947370529174805
160,672,1970-01-01 00:28:24.177000,1970-01-01 00:28:24.330300,-1,Unclassified,0.3102723956108093
170,682,1970-01-01 00:28:24.180000,1970-01-01 00:28:24.333300,-1,Unclassified,0.3494155704975128
180,692,1970-01-01 00:28:24.183000,1970-01-01 00:28:24.336300,-1,Unclassified,0.31218674778938293
190,702,1970-01-01 00:28:24.186000,1970-01-01 00:28:24.339300,-1,Unclassified,0.4533540606498718
200,712,1970-01-01 00:28:24.189000,1970-01-01 00:28:24.342300,-1,Unclassified,0.36199435591697693
210,722,1970-01-01 00:28:24.192000,1970-01-01 00:28:24.345300,-1,Unclassified,0.4408554136753082
220,732,1970-01-01 00:28:24.195000,1970-01-01 00:28:24.348300,-1,Unclassified,0.3581938147544861
230,742,1970-01-01 00:28:24.198000,1970-01-01 00:28:24.351300,-1,Unclassified,0.32604116201400757
240,752,1970-01-01 00:28:24.201000,1970-01-01 00:28:24.354300,-1,Unclassified,0.2839660048484802
250,762,1970-01-01 00:28:24.204000,1970-01-01 00:28:24.357300,-1,Unclassified,0.39303362369537354
260,772,1970-01-01 00:28:24.207000,1970-01-01 00:28:24.360300,-1,Unclassified,0.3559838533401489
270,782,1970-01-01 00:28:24.210000,1970-01-01 00:28:24.363300,-1,Unclassified,0.5052977800369263
280,792,1970-01-01 00:28:24.213000,1970-01-01 00:28:24.366300,-1,Unclassified,0.31635308265686035
290,802,1970-01-01 00:28:24.216000,1970-01-01 00:28:24.369300,-1,Unclassified,0.32093292474746704
300,812,1970-01-01 00:28:24.219000,1970-01-01 00:28:24.372300,-1,Unclassified,0.3111240267753601
310,822,1970-01-01 00:28:24.222000,1970-01-01 00:28:24.375300,-1,Unclassified,0.3649061918258667
320,832,1970-01-01 00:28:24.225000,1970-01-01 00:28:24.378300,-1,Unclassified,0.2699616253376007
330,842,1970-01-01 00:28:24.228000,1970-01-01 00:28:24.381300,-1,Unclassified,0.42812445759773254
340,852,1970-01-01 00:28:24.231000,1970-01-01 00:28:24.384300,-1,Unclassified,0.5130117535591125
350,862,1970-01-01 00:28:24.234000,1970-01-01 00:28:24.387300,-1,Unclassified,0.49635469913482666
360,872,1970-01-01 00:28:24.237000,1970-01-01 00:28:24.390300,-1,Unclassified,0.3060208857059479
370,882,1970-01-01 00:28:24.240000,1970-01-01 00:28:24.393300,-1,Unclassified,0.39260032773017883
380,892,1970-01-01 00:28:24.243000,1970-01-01 00:28:24.396300,-1,Unclassified,0.32995685935020447
390,902,1970-01-01 00:28:24.246000,1970-01-01 00:28:24.399300,-1,Unclassified,0.3553941547870636
400,912,1970-01-01 00:28:24.249000,1970-01-01 00:28:24.402300,-1,Unclassified,0.2722353935241699
410,922,1970-01-01 00:28:24.252000,1970-01-01 00:28:24.405300,-1,Unclassified,0.3429596424102783
420,932,1970-01-01 00:28:24.255000,1970-01-01 00:28:24.408300,-1,Unclassified,0.32474663853645325
430,942,1970-01-01 00:28:24.258000,1970-01-01 00:28:24.411300,-1,Unclassified,0.34928980469703674
440,952,1970-01-01 00:28:24.261000,1970-01-01 00:28:24.414300,-1,Unclassified,0.3161008656024933
450,962,1970-01-01 00:28:24.264000,1970-01-01 00:28:24.417300,-1,Unclassified,0.3682839274406433
460,972,1970-01-01 00:28:24.267000,1970-01-01 00:28:24.420300,-1,Unclassified,0.3649759888648987
470,982,1970-01-01 00:28:24.270000,1970-01-01 00:28:24.423300,-1,Unclassified,0.35564395785331726
480,992,1970-01-01 00:28:24.273000,1970-01-01 00:28:24.426300,-1,Unclassified,0.2373226135969162
490,1002,1970-01-01 00:28:24.276000,1970-01-01 00:28:24.429300,-1,Unclassified,0.3144610822200775
500,1012,1970-01-01 00:28:24.279000,1970-01-01 00:28:24.432300,-1,Unclassified,0.2632904052734375
510,1022,1970-01-01 00:28:24.282000,1970-01-01 00:28:24.435300,-1,Unclassified,0.3350432515144348
520,1032,1970-01-01 00:28:24.285000,1970-01-01 00:28:24.438300,-1,Unclassified,0.20536570250988007
530,1042,1970-01-01 00:28:24.288000,1970-01-01 00:28:24.441300,-1,Unclassified,0.3397234380245209
540,1052,1970-01-01 00:28:24.291000,1970-01-01 00:28:24.444300,-1,Unclassified,0.26366469264030457
550,1062,1970-01-01 00:28:24.294000,1970-01-01 00:28:24.447300,-1,Unclassified,0.29488030076026917
560,1072,1970-01-01 00:28:24.297000,1970-01-01 00:28:24.450300,-1,Unclassified,0.24905136227607727
570,1082,1970-01-01 00:28:24.300000,1970-01-01 00:28:24.453300,-1,Unclassified,0.37036648392677307
